,accuracy,f1,recall,precision
10min,0.66,0.6777251184834123,0.6529680365296804,0.7044334975369458
15min,0.7175,0.7223587223587223,0.6712328767123288,0.7819148936170213
20min,0.7808333333333334,0.7924230465666929,0.7687595712098009,0.8175895765472313
25min,0.8149606299212598,0.8244084682440846,0.7985524728588661,0.851994851994852
30min,0.8582677165354331,0.8665018541409147,0.8455971049457177,0.8884664131812421
